degree	h_max	timestep	error	ti_time
2	0.00697294	0.08	0.221447	402.384
2	0.00697294	0.04	0.0427375	559.436
2	0.00697294	0.02	0.0101599	719.24
2	0.00697294	0.01	0.00254515	887.25
2	0.00697294	0.008	0.00160842	984.929
2	0.00697294	0.005	0.000639167	1104.01
2	0.00697294	0.004	0.000392488	1017.29
2	0.00697294	0.002	0.000103434	1086.12
2	0.00697294	0.001	2.67593e-05	1473.72
2	0.00697294	0.0005	1.0672e-05	3218.57
