degree	h_max	timestep	error	ti_time
2	0.00697294	0.08	0.196372	521.017
2	0.00697294	0.04	0.0322526	620.216
2	0.00697294	0.02	0.00773145	793.509
2	0.00697294	0.01	0.00372787	1068.93
2	0.00697294	0.008	0.00308248	1126.38
2	0.00697294	0.004	0.00170643	1133.89
2	0.00697294	0.002	0.00090271	1221.23
2	0.00697294	0.001	0.000466803	1604.58
2	0.00697294	0.0005	0.000237373	3542.68
2	0.00697294	0.00025	0.00011948	7604.12
